epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6257.09,0.87857,1.29043,0.61827,1.1023,0.94509,0.78866,0.8558,0.64029,0.94509,0.78866,0.83689,0.5262,1.19022,2.33063,0.89381,1.23912,0.000272224,0.000272224,0.000272224
70,6346,0.96304,1.50217,0.66827,1.09641,0.96047,0.77662,0.87523,0.66116,0.96047,0.77662,0.8651,0.55531,1.13005,2.20994,0.84862,1.20837,0.000263978,0.000263978,0.000263978
71,6434.03,0.92866,1.41561,0.64696,1.08483,0.94816,0.82121,0.89674,0.66376,0.96693,0.75622,0.86433,0.55864,1.16393,2.20184,0.83734,1.21601,0.000255731,0.000255731,0.000255731
72,6521.91,0.89404,1.35788,0.62053,1.0547,0.94816,0.82121,0.89674,0.66376,0.96693,0.75622,0.86433,0.55864,1.16393,2.20184,0.83734,1.21601,0.000247484,0.000247484,0.000247484
73,6609.78,0.9003,1.38463,0.65223,1.12017,0.92378,0.85717,0.91102,0.68972,0.89644,0.82418,0.88116,0.60052,1.08752,2.00822,0.73352,1.17404,0.000239238,0.000239238,0.000239238
74,6700.61,0.86222,1.34555,0.64707,1.08065,0.88578,0.90022,0.91292,0.69222,0.91567,0.80693,0.88258,0.58968,1.10843,1.99575,0.74656,1.196,0.000230991,0.000230991,0.000230991
75,6789.03,0.88976,1.41653,0.6265,1.10055,0.96143,0.84534,0.91071,0.68352,0.93061,0.81201,0.89821,0.57514,1.1042,2.02359,0.7241,1.18162,0.000222744,0.000222744,0.000222744
76,6876.43,0.82737,1.26658,0.58272,1.05172,0.96143,0.84534,0.91071,0.68352,0.93061,0.81201,0.89821,0.57514,1.1042,2.02359,0.7241,1.18162,0.000214497,0.000214497,0.000214497
77,6967.58,0.81664,1.28662,0.58764,1.05478,0.9481,0.85636,0.91357,0.70409,0.91514,0.82359,0.89876,0.56875,1.09324,2.01815,0.71416,1.164,0.000206251,0.000206251,0.000206251
78,7055.23,0.95168,1.45773,0.67851,1.12794,0.97585,0.84604,0.91401,0.68389,0.94648,0.81122,0.8935,0.56078,1.1357,2.10035,0.74317,1.20479,0.000198004,0.000198004,0.000198004
